时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 23:19:54.042,0.3,0.6,0.3,0.7,2006.0,1909.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:19:55.041,0.3,0.6,0.3,0.7,1959.0,1911.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:23:34.673,0.3,0.6,0.3,0.7,2138.0,1912.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:23:35.673,0.3,0.6,0.3,0.7,2151.0,2013.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:23:36.674,0.3,0.7,0.3,0.7,2064.0,2007.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:23:37.673,0.3,0.6,0.3,0.7,2163.0,1952.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:23:44.673,0.3,0.6,0.3,0.7,2065.0,1981.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:23:45.673,0.3,0.7,0.3,0.7,2114.0,1925.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:23:46.674,0.3,0.7,0.3,0.7,2117.0,1986.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月18日 23:26:23.118,0.3,0.6,0.3,0.6,2128.0,1915.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 23:26:24.118,0.3,0.6,0.3,0.6,2086.0,1944.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
